('吉林市骨伤医院', '二级甲等', '专科医院', '吉林省', '吉林市', '昌邑区', '126', '吉林市昌邑区天津街777号')
('吉林市中西医结合肛肠医院', '三级甲等', '综合医院', '吉林省', '吉林市', '昌邑区', '250', '吉林市昆明街北安五条2号')
('吉林铁路中心医院', '三级乙等', '综合医院', '吉林省', '吉林市', '昌邑区', '630', '吉林省吉林市昌邑区中兴街36号')
('吉林市中心医院', '三级甲等', '综合医院', '吉林省', '吉林市', '船营区', '2792', '吉林市船营区南京街4号')
('吉林市中医联合医院', None, '综合医院', '吉林省', '吉林市', '昌邑区', 0, '吉林市青年路贵阳街8号')
('吉林市儿童医院', '二级甲等', '专科医院', '吉林省', '吉林市', '昌邑区', '182', '吉林市吉林大街208号')
('吉林市创伤医院', '二级甲等', '专科医院', '吉林省', '吉林市', '昌邑区', '250', '吉林市松江东路19号')
('吉林市第二人民医院', '二级甲等', '综合医院', '吉林省', '吉林市', '昌邑区', '450', '吉林市通江路76号')
('吉林市丰满区口腔医院', '一级甲等', '专科医院', '吉林省', '吉林市', '丰满区', '0', '吉林省吉林市市丰满区大街89号')
('吉林市丰满区妇幼保健院', '一级甲等', '妇幼保健院', '吉林省', '吉林市', '丰满区', '0', '吉林省吉林市恒山西路87号')
('吉林市丰满区医院', '二级乙等', '综合医院', '吉林省', '吉林市', '丰满区', '200', '吉林市青岛街菜市胡同4号')
('吉林市丰满区中医院', None, '中医医院', '吉林省', '吉林市', '丰满区', '42', '吉林省吉林市丰满区华山路21号')
('吉林医药学院附属医院（原:中国人民解放军第四六五医', '三级甲等', '综合医院', '吉林省', '吉林市', '丰满区', '500', '吉林市丰满区华山路81号')
('吉林市第六人民医院', '二级甲等', '综合医院', '吉林省', '吉林市', '丰满区', '300', '吉林市丰满区华山路169号')
('吉林市高新博华医院', None, '综合医院', '吉林省', '吉林市', '丰满区', 0, '吉林市高新区恒山西路华桥城科贸东楼3号')
('吉林网络医院', None, '综合医院', '吉林省', '吉林市', '磐石市', '300', '吉林市江南深圳街8号')
('吉林镍业集团有限责任公司职工医院', '一级甲等', '专科医院', '吉林省', '吉林市', '磐石市', '0', '吉林省磐石市红旗岭镇')
('磐石市妇幼保健院', '一级甲等', '妇幼保健院', '吉林省', '吉林市', '磐石市', '40', '磐石市磐石大街185号')
('磐石医院', '一级甲等', '综合医院', '吉林省', '吉林市', '磐石市', '0', '长春市芙蓉路351号')
('磐石市第三人民医院', None, '综合医院', '吉林省', '吉林市', '磐石市', '0', '吉林市磐石市人民路1778号')
('磐石市第二人民医院', '一级甲等', '综合医院', '吉林省', '吉林市', '磐石市', '80', '吉林省磐石市烟筒山镇南庆街')
('磐石市中医院', '二级甲等', '中医医院', '吉林省', '吉林市', '磐石市', '90', '吉林省吉林市磐石市磐石大街53号')
('吉林市新技术医院', None, '综合医院', '吉林省', '吉林市', '磐石市', 0, '吉林市北山南区1号楼')
('吉林省白石山林业局职工医院', '二级乙等', '专科医院', '吉林省', '吉林市', '蛟河市', '127', '吉林省蛟河市白石山白林路')
('蛟河市中医院', '二级未定', '中医医院', '吉林省', '吉林市', '蛟河市', '60', '吉林省吉林市蛟河市新华大街32号')
('蛟河市人民医院', '二级甲等', '综合医院', '吉林省', '吉林市', '蛟河市', '420', '吉林省蛟河市红星路89号')
('吉林市新站结核病医院', '二级甲等', '综合医院', '吉林省', '吉林市', '蛟河市', '400', '蛟河市新站镇康复路20号')
('中国水利水电第一工程局第一职工医院', '一级甲等', '专科医院', '吉林省', '吉林市', '桦甸市', '0', '白山镇建设街')
('中国水利水电第一工程局红石分局职工医院', '一级甲等', '专科医院', '吉林省', '吉林市', '桦甸市', '0', '桦甸市红石镇')
('夹皮沟黄金矿业公司职工医院', '二级乙等', '专科医院', '吉林省', '吉林市', '桦甸市', '125', '桦甸市夹皮沟镇')
('于洪区中医院', '二级甲等', '中医医院', '辽宁省', '沈阳市', '于洪区', '150', '沈阳市于洪区沈大路25号')
('于洪区第五人民医院', '二级甲等', '综合医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区沈辽中路124号')
('于洪区第三人民医院', '二级甲等', '综合医院', '辽宁省', '沈阳市', '于洪区', '30', '沈阳市于洪区沙岭')
('于洪区人民医院', '二级甲等', '综合医院', '辽宁省', '沈阳市', '于洪区', '310', '沈阳市于洪区东湖14号')
('中国医科大学第四附属医院', '三级甲等', '综合医院', '辽宁省', '沈阳市', '于洪区', '1000', '辽宁省沈阳市于洪区崇山东4号')
('沈阳市于洪区肿瘤医院', None, '专科医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区迎滨路124号')
('沈阳市于洪区红十字会医院二院', None, '综合医院', '辽宁省', '沈阳市', '于洪区', '0', '沈阳市于洪区长江北街43号')
